,Episode,Average Reward,Fail Rate
0,0,9.42,1.0
1,10,9.38,1.0
2,20,9.28,1.0
3,30,9.4,1.0
4,40,32.86,1.0
5,50,75.52,1.0
6,60,112.04,1.0
7,70,177.3,1.0
8,80,191.18,1.0
9,90,230.37,1.0
10,100,342.88,0.89
11,110,306.92,0.95
12,120,371.19,0.89
13,130,248.75,1.0
14,140,239.8,1.0
15,150,252.2,1.0
16,160,387.8,0.8
17,170,392.79,0.8
18,180,264.47,0.95
19,190,379.63,0.71
20,200,209.1,0.99
21,210,369.18,0.74
22,220,324.75,0.98
23,230,251.28,1.0
24,240,252.5,0.99
25,250,251.13,1.0
26,260,228.83,1.0
27,270,185.74,1.0
28,280,168.3,1.0
29,290,157.89,1.0
30,300,135.3,1.0
31,310,129.84,1.0
32,320,124.47,1.0
33,330,167.52,1.0
34,340,121.46,1.0
35,350,152.35,1.0
36,360,143.21,1.0
37,370,131.79,1.0
38,380,137.04,1.0
39,390,157.81,1.0
40,400,217.67,1.0
41,410,183.52,1.0
42,420,200.96,1.0
43,430,179.57,1.0
44,440,167.49,1.0
45,450,142.64,1.0
46,460,134.85,1.0
47,470,120.53,1.0
48,480,132.51,1.0
49,490,109.11,1.0
50,500,117.86,1.0
51,510,121.74,1.0
52,520,127.09,1.0
53,530,89.44,1.0
54,540,117.51,1.0
55,550,163.22,1.0
56,560,155.62,1.0
57,570,176.62,1.0
58,580,140.73,1.0
59,590,139.75,1.0
60,600,303.92,0.96
61,610,346.62,1.0
62,620,135.02,1.0
63,630,268.28,1.0
64,640,259.02,1.0
65,650,368.05,0.91
66,660,271.18,0.99
67,670,226.59,1.0
68,680,235.68,1.0
69,690,165.28,1.0
70,700,100.12,1.0
71,710,224.05,1.0
72,720,135.54,1.0
73,730,95.05,1.0
74,740,99.05,1.0
75,750,100.59,1.0
76,760,107.6,1.0
77,770,106.59,1.0
78,780,125.81,1.0
79,790,148.47,1.0
80,800,93.62,1.0
81,810,207.68,1.0
82,820,135.35,1.0
83,830,250.77,0.91
84,840,109.24,1.0
85,850,131.02,1.0
86,860,117.29,1.0
87,870,319.28,0.75
88,880,443.61,0.34
89,890,109.61,1.0
90,900,283.36,0.92
91,910,104.07,1.0
92,920,165.22,0.95
93,930,96.79,1.0
94,940,111.43,1.0
95,950,100.3,1.0
96,960,96.19,1.0
97,970,115.68,1.0
98,980,106.92,1.0
99,990,132.75,1.0
100,1000,115.79,1.0
101,1010,182.79,0.99
102,1020,173.57,0.99
103,1030,123.11,1.0
104,1040,180.88,0.99
105,1050,131.98,1.0
106,1060,98.76,1.0
107,1070,132.06,0.98
108,1080,115.22,1.0
109,1090,114.67,1.0
110,1100,109.83,1.0
111,1110,116.19,1.0
112,1120,125.44,1.0
113,1130,100.25,1.0
114,1140,98.68,1.0
115,1150,100.99,1.0
116,1160,97.45,1.0
117,1170,98.67,1.0
118,1180,97.61,1.0
119,1190,125.43,1.0
120,1200,98.74,1.0
121,1210,113.46,1.0
122,1220,115.92,1.0
123,1230,107.68,1.0
124,1240,109.53,1.0
125,1250,111.95,1.0
126,1260,117.1,1.0
127,1270,107.63,1.0
128,1280,116.26,1.0
129,1290,112.34,1.0
130,1300,120.94,1.0
131,1310,140.7,1.0
132,1320,133.05,1.0
133,1330,121.42,1.0
134,1340,121.21,1.0
135,1350,157.23,1.0
136,1360,107.4,1.0
137,1370,111.6,1.0
138,1380,136.52,1.0
139,1390,116.08,1.0
140,1400,238.19,1.0
141,1410,116.44,1.0
142,1420,109.77,1.0
143,1430,97.0,1.0
144,1440,109.49,1.0
145,1450,98.42,1.0
146,1460,137.86,1.0
147,1470,187.95,1.0
148,1480,159.47,1.0
149,1490,123.62,1.0
150,1500,148.76,1.0
151,1510,108.88,1.0
152,1520,110.33,1.0
153,1530,186.36,1.0
154,1540,218.61,0.96
155,1550,197.99,0.94
156,1560,141.88,1.0
157,1570,102.3,1.0
158,1580,101.14,1.0
159,1590,98.52,1.0
160,1600,101.54,1.0
161,1610,100.45,1.0
162,1620,111.56,1.0
163,1630,100.98,1.0
164,1640,108.74,1.0
165,1650,126.08,1.0
166,1660,129.48,1.0
167,1670,347.35,0.96
168,1680,465.6,0.24
169,1690,500.0,0.0
170,1700,103.86,1.0
171,1710,500.0,0.0
172,1720,483.19,0.17
173,1730,251.68,1.0
174,1740,298.22,1.0
175,1750,256.25,1.0
176,1760,253.01,1.0
177,1770,240.35,1.0
178,1780,240.25,1.0
179,1790,225.84,1.0
180,1800,261.18,1.0
181,1810,106.98,1.0
182,1820,108.39,1.0
183,1830,110.59,1.0
184,1840,99.88,1.0
185,1850,227.05,1.0
186,1860,260.43,1.0
187,1870,260.19,1.0
188,1880,184.47,1.0
189,1890,474.75,0.16
190,1900,194.94,1.0
191,1910,328.7,1.0
192,1920,367.1,1.0
193,1930,392.19,1.0
194,1940,379.56,0.95
195,1950,399.19,1.0
196,1960,379.84,0.98
197,1970,472.77,0.29
198,1980,406.16,0.98
199,1990,438.55,0.99
200,2000,346.75,1.0
201,2010,478.53,0.97
202,2020,459.69,0.47
203,2030,500.0,0.0
204,2040,500.0,0.0
205,2050,500.0,0.0
206,2060,500.0,0.0
207,2070,500.0,0.0
208,2080,500.0,0.0
209,2090,500.0,0.0
210,2100,500.0,0.0
211,2110,500.0,0.0
212,2120,500.0,0.0
