,Episode,Average Reward,Fail Rate
0,0,9.36,1.0
1,10,17.29,1.0
2,20,9.38,1.0
3,30,13.17,1.0
4,40,20.03,1.0
5,50,9.5,1.0
6,60,56.6,1.0
7,70,166.69,1.0
8,80,216.97,1.0
9,90,429.34,0.48
10,100,273.13,0.99
11,110,333.95,0.93
12,120,296.26,0.99
13,130,271.48,0.98
14,140,287.02,0.96
15,150,277.59,1.0
16,160,260.3,0.97
17,170,244.01,1.0
18,180,232.16,0.99
19,190,287.44,0.98
20,200,262.53,1.0
21,210,292.46,0.98
22,220,288.49,0.97
23,230,279.83,1.0
24,240,293.51,0.98
25,250,275.44,0.99
26,260,280.12,0.98
27,270,257.17,0.98
28,280,280.18,1.0
29,290,308.81,0.98
30,300,296.54,0.97
31,310,250.62,1.0
32,320,243.52,1.0
33,330,185.5,1.0
34,340,196.48,1.0
35,350,281.88,0.98
36,360,265.4,1.0
37,370,281.26,1.0
38,380,263.04,1.0
39,390,252.49,0.99
40,400,290.89,0.98
41,410,198.09,1.0
42,420,240.34,1.0
43,430,279.28,0.98
44,440,184.76,1.0
45,450,221.12,1.0
46,460,288.64,0.99
47,470,184.66,1.0
48,480,234.99,1.0
49,490,272.53,1.0
50,500,303.01,1.0
51,510,300.91,1.0
52,520,173.82,1.0
53,530,108.83,1.0
54,540,132.59,1.0
55,550,217.51,1.0
56,560,113.88,1.0
57,570,224.9,1.0
58,580,154.07,1.0
59,590,240.01,1.0
60,600,76.17,1.0
61,610,162.13,1.0
62,620,72.47,1.0
63,630,97.43,1.0
64,640,82.25,1.0
65,650,98.49,1.0
66,660,170.22,1.0
67,670,127.42,1.0
68,680,114.05,1.0
69,690,123.9,1.0
70,700,205.76,1.0
71,710,105.97,1.0
72,720,186.68,1.0
73,730,167.57,1.0
74,740,152.58,1.0
75,750,180.08,1.0
76,760,172.86,1.0
77,770,143.51,1.0
78,780,155.72,1.0
79,790,141.9,1.0
80,800,154.76,1.0
81,810,146.7,1.0
82,820,106.42,1.0
83,830,154.37,1.0
84,840,188.66,1.0
85,850,125.51,1.0
86,860,97.31,1.0
87,870,112.35,1.0
88,880,424.78,0.27
89,890,245.14,0.73
90,900,109.96,1.0
91,910,116.93,1.0
92,920,91.16,1.0
93,930,288.44,0.55
94,940,94.65,1.0
95,950,91.83,1.0
96,960,99.18,1.0
97,970,104.52,0.99
98,980,239.16,0.78
99,990,112.82,0.96
100,1000,91.41,1.0
101,1010,90.61,1.0
102,1020,98.55,1.0
103,1030,109.91,1.0
104,1040,106.05,1.0
105,1050,92.13,1.0
106,1060,347.52,0.53
107,1070,109.28,0.99
108,1080,134.24,0.99
109,1090,135.97,0.97
110,1100,100.78,1.0
111,1110,107.17,1.0
112,1120,180.79,1.0
113,1130,163.28,1.0
114,1140,190.87,1.0
115,1150,163.73,1.0
116,1160,113.64,1.0
117,1170,135.64,1.0
118,1180,125.87,1.0
119,1190,126.98,1.0
120,1200,128.02,1.0
121,1210,162.62,1.0
122,1220,97.9,1.0
123,1230,95.45,1.0
124,1240,109.09,1.0
125,1250,105.83,1.0
126,1260,120.63,1.0
127,1270,142.57,1.0
128,1280,93.55,1.0
129,1290,115.01,1.0
130,1300,144.4,1.0
131,1310,111.19,1.0
132,1320,91.45,1.0
133,1330,182.48,1.0
134,1340,100.68,1.0
135,1350,91.89,1.0
136,1360,119.27,1.0
137,1370,118.48,1.0
138,1380,144.79,1.0
139,1390,172.1,1.0
140,1400,105.55,1.0
141,1410,173.4,1.0
142,1420,196.08,1.0
143,1430,105.88,1.0
144,1440,232.92,0.99
145,1450,94.75,1.0
146,1460,169.93,0.99
147,1470,92.02,1.0
148,1480,98.86,1.0
149,1490,142.16,1.0
150,1500,107.36,1.0
151,1510,123.04,1.0
152,1520,91.97,1.0
153,1530,92.63,1.0
154,1540,473.56,0.16
155,1550,402.06,0.63
156,1560,163.44,1.0
157,1570,136.91,1.0
158,1580,106.09,1.0
159,1590,280.07,0.97
160,1600,235.75,1.0
161,1610,171.06,1.0
162,1620,500.0,0.0
163,1630,500.0,0.0
164,1640,265.76,0.89
165,1650,337.48,0.52
166,1660,490.38,0.07
167,1670,496.21,0.02
168,1680,316.52,0.81
169,1690,500.0,0.0
170,1700,500.0,0.0
171,1710,500.0,0.0
172,1720,500.0,0.0
173,1730,500.0,0.0
174,1740,500.0,0.0
175,1750,213.77,0.97
176,1760,500.0,0.0
177,1770,172.21,0.97
178,1780,500.0,0.0
