Timestep,Average Reward,Episode Reward
1,9.61,0.0
2,9.8,0.0
3,9.8,0.0
4,9.89,0.0
5,10.02,0.0
6,10.03,0.0
7,10.22,0.0
8,10.35,0.0
9,10.58,0.0
10,10.95,0.0
11,10.67,0.0
12,10.97,0.0
13,10.78,0.0
14,11.35,0.0
15,11.18,0.0
16,11.28,0.0
17,11.75,0.0
18,11.86,0.0
19,11.92,0.0
20,12.26,0.0
21,12.59,0.0
22,12.64,0.0
23,12.92,0.0
24,13.23,0.0
25,13.91,0.0
26,13.73,0.0
27,13.94,0.0
28,14.11,0.0
29,14.7,0.0
30,15.05,0.0
31,15.08,0.0
32,15.33,0.0
33,15.76,0.0
34,15.63,0.0
35,16.58,0.0
36,16.66,0.0
37,16.85,0.0
38,17.38,0.0
39,18.2,0.0
40,18.42,0.0
41,19.67,0.0
42,20.07,0.0
43,20.97,0.0
44,21.06,0.0
45,22.5,0.0
46,22.7,0.0
47,23.31,0.0
48,23.44,0.0
49,23.46,0.0
50,24.91,0.0
51,24.16,0.0
52,24.02,0.0
53,24.63,0.0
54,25.83,0.0
55,25.88,0.0
56,25.18,0.0
57,26.2,0.0
58,26.11,0.0
59,26.0,0.0
60,26.36,0.0
61,26.27,0.0
62,26.86,0.0
63,27.64,0.0
64,27.34,0.0
65,27.56,0.0
66,28.18,0.0
67,28.4,0.0
68,28.09,0.0
69,29.0,0.0
70,28.83,0.0
71,30.54,0.0
72,30.89,0.0
73,31.83,0.0
74,32.52,0.0
75,33.03,0.0
76,34.58,0.0
77,36.26,0.0
78,38.42,0.0
79,38.76,0.0
80,39.84,0.0
81,41.58,0.0
82,45.35,0.0
83,47.47,0.0
84,47.35,0.0
85,50.17,0.0
86,51.1,0.0
87,53.48,0.0
88,59.44,0.0
89,66.77,0.0
90,68.98,0.0
91,71.23,0.0
92,73.46,0.0
93,73.78,0.0
94,79.87,0.0
95,82.81,0.0
96,97.21,0.0
97,105.13,0.0
98,127.55,0.0
99,130.95,0.0
100,128.5,0.0
101,123.62,0.0
102,119.68,0.0
103,114.83,0.0
104,96.65,0.0
105,96.51,0.0
106,83.59,0.0
107,77.03,0.0
108,84.01,0.0
109,78.18,0.0
110,79.53,0.0
111,82.01,0.0
112,79.83,0.0
113,76.39,0.0
114,82.02,0.0
115,85.28,0.0
116,77.78,0.0
117,77.41,0.0
118,76.59,0.0
119,76.92,0.0
120,75.64,0.0
121,79.1,0.0
122,75.21,0.0
123,71.33,0.0
124,73.23,0.0
125,76.41,0.0
126,78.12,0.0
127,74.8,0.0
128,77.71,0.0
129,76.47,0.0
130,73.86,0.0
131,79.28,0.0
132,77.82,0.0
133,82.99,0.0
134,82.22,0.0
135,72.68,0.0
136,75.73,0.0
137,69.93,0.0
138,68.68,0.0
139,69.59,0.0
140,72.26,0.0
141,68.8,0.0
142,70.18,0.0
143,70.58,0.0
144,73.0,0.0
145,68.25,0.0
146,69.19,0.0
147,68.64,0.0
148,71.04,0.0
149,69.82,0.0
150,70.47,0.0
151,67.92,0.0
152,74.48,0.0
153,67.85,0.0
154,68.04,0.0
155,69.16,0.0
156,68.14,0.0
157,68.45,0.0
158,65.43,0.0
159,69.65,0.0
160,65.12,0.0
161,67.7,0.0
162,71.61,0.0
163,71.36,0.0
164,68.45,0.0
165,67.02,0.0
166,71.99,0.0
167,72.22,0.0
168,75.79,0.0
169,82.16,0.0
170,79.26,0.0
171,80.79,0.0
172,88.25,0.0
173,96.58,0.0
174,97.41,0.0
175,100.33,0.0
176,119.45,0.0
177,119.8,0.0
178,125.98,0.0
179,141.74,0.0
180,136.31,0.0
181,117.03,0.0
182,128.46,0.0
183,134.65,0.0
184,116.23,0.0
185,141.62,0.0
186,143.34,0.0
187,136.11,0.0
188,140.11,0.0
189,124.8,0.0
190,143.93,0.0
191,141.47,0.0
192,133.33,0.0
193,114.88,0.0
194,122.94,0.0
195,115.25,0.0
196,116.83,0.0
197,123.5,0.0
198,115.79,0.0
199,113.49,0.0
200,107.16,0.0
201,120.56,0.0
202,103.65,0.0
203,101.03,0.0
204,90.9,0.0
205,80.27,0.0
206,87.39,0.0
207,83.5,0.0
208,80.53,0.0
209,83.53,0.0
210,84.59,0.0
211,74.67,0.0
212,72.67,0.0
213,74.25,0.0
214,84.5,0.0
215,90.92,0.0
216,97.67,0.0
217,88.16,0.0
218,106.7,0.0
219,126.15,0.0
220,126.31,0.0
221,121.3,0.0
222,131.61,0.0
223,142.95,0.0
224,173.98,0.0
225,169.25,0.0
226,176.39,0.0
227,153.3,0.0
228,155.55,0.0
229,140.99,0.0
230,148.0,0.0
231,169.38,0.0
232,154.82,0.0
233,157.6,0.0
234,149.18,0.0
235,144.11,0.0
236,158.07,0.0
237,169.37,0.0
238,154.23,0.0
239,171.26,0.0
240,160.19,0.0
241,158.24,0.0
242,153.69,0.0
243,154.02,0.0
244,144.64,0.0
245,153.09,0.0
246,154.78,0.0
247,135.33,0.0
248,156.42,0.0
249,161.16,0.0
250,169.45,0.0
251,168.02,0.0
252,141.32,0.0
253,130.39,0.0
254,174.01,0.0
255,164.86,0.0
256,152.03,0.0
257,129.78,0.0
258,154.54,0.0
259,124.83,0.0
260,119.71,0.0
261,98.85,0.0
262,107.75,0.0
263,95.64,0.0
264,119.85,0.0
265,110.1,0.0
266,99.34,0.0
267,109.1,0.0
268,127.83,0.0
269,94.08,0.0
270,107.7,0.0
271,99.55,0.0
272,112.95,0.0
273,93.36,0.0
274,113.21,0.0
275,107.39,0.0
276,141.83,0.0
277,126.42,0.0
278,148.59,0.0
279,138.27,0.0
280,129.12,0.0
281,135.03,0.0
282,150.02,0.0
283,155.38,0.0
284,158.45,0.0
285,138.43,0.0
286,151.32,0.0
287,188.48,0.0
288,170.75,0.0
289,173.55,0.0
290,185.46,0.0
291,160.94,0.0
292,205.49,0.0
293,173.85,0.0
294,222.34,0.0
295,177.98,0.0
296,200.86,0.0
297,172.8,0.0
298,164.34,0.0
299,184.47,0.0
300,177.57,0.0
301,188.61,0.0
302,160.41,0.0
303,174.3,0.0
304,181.22,0.0
305,189.16,0.0
306,152.66,0.0
307,155.52,0.0
308,155.12,0.0
309,143.62,0.0
310,151.46,0.0
311,130.92,0.0
312,120.82,0.0
313,113.14,0.0
314,102.35,0.0
315,109.26,0.0
316,103.75,0.0
317,116.06,0.0
318,132.76,0.0
319,116.85,0.0
320,105.61,0.0
321,106.99,0.0
322,103.76,0.0
323,120.66,0.0
324,103.74,0.0
325,104.04,0.0
326,101.58,0.0
327,100.63,0.0
328,112.57,0.0
329,110.45,0.0
330,97.21,0.0
331,115.68,0.0
