,Episode,Time Step,Average Reward,Episode Reward
0,0,30,14.88,30.0
1,1,32,14.45,2.0
2,2,59,14.61,27.0
3,3,65,15.12,6.0
4,4,76,14.52,11.0
5,5,96,15.6,20.0
6,6,97,14.8,1.0
7,7,134,15.27,37.0
8,8,152,14.77,18.0
9,9,171,15.3,19.0
10,10,181,15.15,10.0
11,11,182,15.33,1.0
12,12,194,15.11,12.0
13,13,213,15.48,19.0
14,14,249,15.48,36.0
15,15,265,15.11,16.0
16,16,283,14.96,18.0
17,17,290,15.02,7.0
18,18,291,15.33,1.0
19,19,302,14.99,11.0
20,20,333,15.61,31.0
21,21,338,15.38,5.0
22,22,382,14.76,44.0
23,23,385,15.07,3.0
24,24,418,14.76,33.0
25,25,433,14.34,15.0
26,26,434,14.47,1.0
27,27,435,14.31,1.0
28,28,451,12.54,16.0
29,29,462,10.31,11.0
30,30,463,10.3,1.0
31,31,478,9.3,15.0
32,32,514,9.39,36.0
33,33,525,9.45,11.0
34,34,535,9.42,10.0
35,35,542,9.46,7.0
36,36,562,9.37,20.0
37,37,574,9.48,12.0
38,38,592,9.21,18.0
39,39,602,9.37,10.0
40,40,612,9.34,10.0
41,41,620,9.32,8.0
42,42,636,9.41,16.0
43,43,640,9.36,4.0
44,44,641,9.3,1.0
45,45,669,9.33,28.0
46,46,674,9.42,5.0
47,47,730,9.39,56.0
48,48,744,9.24,14.0
49,49,755,9.44,11.0
50,50,774,9.5,19.0
51,51,776,9.28,2.0
52,52,795,9.21,19.0
53,53,798,9.39,3.0
54,54,802,9.3,4.0
55,55,803,9.46,1.0
56,56,804,9.35,1.0
57,57,820,9.4,16.0
58,58,821,9.27,1.0
59,59,832,9.38,11.0
60,60,853,9.47,21.0
61,61,858,9.32,5.0
62,62,872,9.41,14.0
63,63,891,9.27,19.0
64,64,905,9.37,14.0
65,65,909,9.3,4.0
66,66,958,9.41,49.0
67,67,966,9.33,8.0
68,68,990,9.36,24.0
69,69,1016,9.35,26.0
70,70,1023,9.32,7.0
71,71,1037,9.41,14.0
72,72,1059,9.32,22.0
73,73,1089,9.23,30.0
74,74,1090,9.39,1.0
75,75,1096,9.27,6.0
76,76,1113,9.27,17.0
77,77,1114,9.35,1.0
78,78,1125,9.34,11.0
79,79,1141,9.44,16.0
80,80,1154,9.41,13.0
81,81,1171,9.38,17.0
82,82,1185,9.43,14.0
83,83,1203,9.42,18.0
84,84,1210,9.34,7.0
85,85,1215,9.4,5.0
86,86,1228,9.35,13.0
87,87,1248,9.4,20.0
88,88,1249,9.29,1.0
89,89,1276,9.45,27.0
90,90,1292,9.51,16.0
91,91,1298,9.41,6.0
92,92,1324,9.17,26.0
93,93,1337,9.49,13.0
94,94,1338,9.31,1.0
95,95,1346,9.34,8.0
96,96,1356,9.45,10.0
97,97,1373,9.25,17.0
98,98,1395,9.32,22.0
99,99,1407,9.36,12.0
100,100,1417,9.36,10.0
101,101,1432,9.36,15.0
102,102,1452,9.34,20.0
103,103,1456,9.28,4.0
104,104,1475,9.38,19.0
105,105,1476,9.42,1.0
106,106,1500,9.26,24.0
107,107,1501,9.27,1.0
108,108,1509,9.4,8.0
109,109,1516,9.3,7.0
110,110,1517,9.28,1.0
