,Episode,Time Step,Average Reward,Episode Reward
0,0,5,9.39,5.0
1,1,11,9.28,6.0
2,2,40,9.42,29.0
3,3,59,9.44,19.0
4,4,60,9.42,1.0
5,5,81,9.34,21.0
6,6,109,9.41,28.0
7,7,126,9.33,17.0
8,8,150,9.34,24.0
9,9,169,9.52,19.0
10,10,180,9.38,11.0
11,11,182,9.29,2.0
12,12,206,9.31,24.0
13,13,207,9.44,1.0
14,14,223,9.29,16.0
15,15,232,9.35,9.0
16,16,253,9.53,21.0
17,17,254,9.32,1.0
18,18,281,9.42,27.0
19,19,298,9.47,17.0
20,20,315,9.51,17.0
21,21,324,9.45,9.0
22,22,351,9.48,27.0
23,23,374,9.7,23.0
24,24,398,9.87,24.0
25,25,406,9.96,8.0
26,26,473,10.46,67.0
27,27,475,10.5,2.0
28,28,503,10.59,28.0
29,29,520,10.85,17.0
30,30,533,11.05,13.0
31,31,540,10.97,7.0
32,32,561,11.19,21.0
33,33,567,11.19,6.0
34,34,577,11.48,10.0
35,35,611,10.92,34.0
36,36,624,11.22,13.0
37,37,662,11.0,38.0
38,38,679,10.76,17.0
39,39,681,10.69,2.0
40,40,698,11.03,17.0
41,41,701,10.97,3.0
42,42,724,11.02,23.0
43,43,760,10.85,36.0
44,44,805,10.95,45.0
45,45,830,11.09,25.0
46,46,841,11.2,11.0
47,47,842,11.02,1.0
48,48,898,11.23,56.0
49,49,927,11.69,29.0
50,50,945,11.95,18.0
51,51,960,11.95,15.0
52,52,970,11.93,10.0
53,53,980,11.78,10.0
54,54,994,12.21,14.0
55,55,1016,12.4,22.0
56,56,1033,12.02,17.0
57,57,1075,12.2,42.0
58,58,1092,12.34,17.0
59,59,1093,12.3,1.0
60,60,1094,12.28,1.0
61,61,1106,12.32,12.0
62,62,1151,12.06,45.0
63,63,1160,11.65,9.0
64,64,1176,11.91,16.0
65,65,1202,11.79,26.0
66,66,1212,11.8,10.0
67,67,1213,11.91,1.0
68,68,1233,11.88,20.0
69,69,1234,11.64,1.0
70,70,1241,11.91,7.0
71,71,1246,12.01,5.0
72,72,1259,11.97,13.0
73,73,1274,11.72,15.0
74,74,1275,11.79,1.0
75,75,1280,12.06,5.0
76,76,1288,12.01,8.0
77,77,1306,12.31,18.0
78,78,1321,11.8,15.0
79,79,1329,11.88,8.0
80,80,1374,11.59,45.0
81,81,1375,11.75,1.0
82,82,1378,11.7,3.0
83,83,1391,11.61,13.0
84,84,1401,11.99,10.0
85,85,1423,11.79,22.0
86,86,1463,11.58,40.0
87,87,1464,11.51,1.0
88,88,1469,11.67,5.0
89,89,1489,11.42,20.0
90,90,1503,11.57,14.0
91,91,1504,11.63,1.0
92,92,1526,11.77,22.0
93,93,1535,11.34,9.0
94,94,1603,11.63,68.0
95,95,1628,11.51,25.0
96,96,1638,11.51,10.0
97,97,1672,11.52,34.0
98,98,1694,11.38,22.0
99,99,1695,11.35,1.0
100,100,1701,11.07,6.0
101,101,1714,10.94,13.0
102,102,1726,11.49,12.0
103,103,1747,10.91,21.0
104,104,1760,10.7,13.0
105,105,1774,10.75,14.0
106,106,1785,10.62,11.0
107,107,1816,10.66,31.0
108,108,1835,10.27,19.0
109,109,1846,10.49,11.0
110,110,1866,10.55,20.0
111,111,1880,10.4,14.0
112,112,1899,10.3,19.0
113,113,1916,10.69,17.0
114,114,1926,10.8,10.0
115,115,1932,10.52,6.0
116,116,1963,10.41,31.0
117,117,1977,10.64,14.0
118,118,1982,10.64,5.0
119,119,1996,10.35,14.0
120,120,1998,10.26,2.0
121,121,2009,10.39,11.0
122,122,2043,10.21,34.0
123,123,2068,10.36,25.0
124,124,2081,10.44,13.0
125,125,2090,10.27,9.0
126,126,2098,10.13,8.0
127,127,2110,10.08,12.0
128,128,2112,10.14,2.0
129,129,2113,10.14,1.0
130,130,2120,10.28,7.0
131,131,2138,9.66,18.0
132,132,2144,9.74,6.0
133,133,2169,9.43,25.0
134,134,2180,9.46,11.0
135,135,2181,9.55,1.0
136,136,2210,9.6,29.0
137,137,2220,9.52,10.0
138,138,2238,9.35,18.0
139,139,2257,9.31,19.0
140,140,2258,9.45,1.0
141,141,2270,9.4,12.0
142,142,2273,9.38,3.0
143,143,2274,9.34,1.0
144,144,2313,9.38,39.0
145,145,2351,9.44,38.0
146,146,2366,9.27,15.0
147,147,2376,9.39,10.0
148,148,2381,9.33,5.0
149,149,2395,9.27,14.0
150,150,2396,9.38,1.0
151,151,2410,9.25,14.0
152,152,2416,9.39,6.0
153,153,2420,9.38,4.0
154,154,2434,9.46,14.0
155,155,2438,9.43,4.0
156,156,2443,9.37,5.0
157,157,2454,9.44,11.0
158,158,2467,9.35,13.0
159,159,2485,9.42,18.0
160,160,2486,9.39,1.0
161,161,2487,9.34,1.0
162,162,2488,9.38,1.0
163,163,2495,9.37,7.0
164,164,2539,9.48,44.0
165,165,2555,9.3,16.0
166,166,2586,9.41,31.0
167,167,2587,9.4,1.0
168,168,2594,9.29,7.0
169,169,2595,9.47,1.0
170,170,2597,9.4,2.0
171,171,2624,9.29,27.0
172,172,2628,9.24,4.0
173,173,2632,9.36,4.0
174,174,2676,9.39,44.0
175,175,2692,9.27,16.0
176,176,2727,9.47,35.0
177,177,2736,9.3,9.0
178,178,2737,9.32,1.0
179,179,2783,9.29,46.0
180,180,2806,9.29,23.0
181,181,2809,9.41,3.0
182,182,2813,9.22,4.0
183,183,2836,9.34,23.0
184,184,2841,9.37,5.0
185,185,2861,9.52,20.0
186,186,2870,9.41,9.0
187,187,2885,9.38,15.0
188,188,2897,9.3,12.0
189,189,2937,9.29,40.0
190,190,2952,9.26,15.0
191,191,2963,9.5,11.0
192,192,2973,9.32,10.0
193,193,3010,9.39,37.0
194,194,3027,9.31,17.0
195,195,3035,9.38,8.0
196,196,3044,9.42,9.0
197,197,3052,9.5,8.0
198,198,3099,9.42,47.0
199,199,3112,9.34,13.0
200,200,3126,9.41,14.0
201,201,3141,9.42,15.0
202,202,3147,9.42,6.0
203,203,3166,9.24,19.0
204,204,3222,9.26,56.0
205,205,3249,9.22,27.0
206,206,3258,9.31,9.0
207,207,3289,9.42,31.0
208,208,3296,9.28,7.0
209,209,3297,9.36,1.0
210,210,3311,9.31,14.0
211,211,3330,9.4,19.0
212,212,3354,9.28,24.0
213,213,3360,9.32,6.0
214,214,3371,9.3,11.0
215,215,3374,9.27,3.0
216,216,3375,9.22,1.0
217,217,3390,9.48,15.0
218,218,3429,9.4,39.0
219,219,3440,9.39,11.0
220,220,3454,9.46,14.0
221,221,3463,9.27,9.0
222,222,3476,9.4,13.0
223,223,3477,9.36,1.0
224,224,3492,11.44,15.0
225,225,3510,14.17,18.0
226,226,3520,15.32,10.0
227,227,3521,12.94,1.0
228,228,3528,15.48,7.0
229,229,3531,11.16,3.0
230,230,3554,9.41,23.0
231,231,3558,9.39,4.0
232,232,3567,9.41,9.0
233,233,3568,9.46,1.0
234,234,3575,9.37,7.0
235,235,3584,9.44,9.0
236,236,3601,9.41,17.0
237,237,3628,9.41,27.0
238,238,3643,9.5,15.0
239,239,3676,9.47,33.0
240,240,3677,9.26,1.0
241,241,3702,9.31,25.0
242,242,3703,9.4,1.0
243,243,3717,9.35,14.0
244,244,3736,9.26,19.0
245,245,3762,9.39,26.0
246,246,3768,9.29,6.0
247,247,3785,9.35,17.0
248,248,3810,9.41,25.0
249,249,3814,9.35,4.0
250,250,3833,9.42,19.0
251,251,3863,9.26,30.0
252,252,3864,9.47,1.0
253,253,3865,9.3,1.0
254,254,3902,9.3,37.0
255,255,3903,9.39,1.0
256,256,3916,9.31,13.0
257,257,3925,9.23,9.0
258,258,3929,9.4,4.0
259,259,3930,9.4,1.0
260,260,3935,9.34,5.0
261,261,3936,9.25,1.0
262,262,3956,9.39,20.0
263,263,3970,9.4,14.0
264,264,3971,9.42,1.0
265,265,3979,13.87,8.0
266,266,3991,11.57,12.0
267,267,3992,13.9,1.0
268,268,3993,13.36,1.0
269,269,3997,12.23,4.0
270,270,4013,9.44,16.0
271,271,4026,9.23,13.0
272,272,4056,9.38,30.0
273,273,4059,9.35,3.0
274,274,4074,9.25,15.0
275,275,4083,9.37,9.0
276,276,4084,9.33,1.0
277,277,4106,9.38,22.0
278,278,4133,13.86,27.0
279,279,4168,11.98,35.0
280,280,4220,11.57,52.0
281,281,4236,22.92,16.0
282,282,4251,32.12,15.0
283,283,4252,38.53,1.0
284,284,4280,12.51,28.0
285,285,4304,9.49,24.0
286,286,4307,12.64,3.0
287,287,4321,35.61,14.0
288,288,4322,33.15,1.0
289,289,4324,28.55,2.0
290,290,4351,35.28,27.0
291,291,4361,37.01,10.0
292,292,4371,17.26,10.0
293,293,4374,12.4,3.0
294,294,4411,9.4,37.0
295,295,4434,9.39,23.0
296,296,4455,9.29,21.0
297,297,4456,9.38,1.0
298,298,4462,9.31,6.0
299,299,4469,9.41,7.0
300,300,4470,9.29,1.0
301,301,4504,9.35,34.0
