,Episode,Average Reward,Fail Rate
0,0,9.29,1.0
1,1,9.35,1.0
2,2,9.47,1.0
3,3,9.27,1.0
4,4,9.36,1.0
5,5,9.3,1.0
6,6,9.37,1.0
7,7,9.39,1.0
8,8,9.38,1.0
9,9,9.36,1.0
10,10,9.2,1.0
11,11,9.46,1.0
12,12,9.29,1.0
13,13,9.27,1.0
14,14,9.6,1.0
15,15,9.44,1.0
16,16,9.34,1.0
17,17,9.22,1.0
18,18,9.28,1.0
19,19,9.37,1.0
20,20,9.41,1.0
21,21,9.48,1.0
22,22,9.24,1.0
23,23,9.31,1.0
24,24,9.2,1.0
25,25,9.41,1.0
26,26,9.29,1.0
27,27,9.33,1.0
28,28,9.43,1.0
29,29,9.44,1.0
30,30,9.38,1.0
31,31,9.34,1.0
32,32,9.48,1.0
33,33,9.43,1.0
34,34,9.25,1.0
35,35,9.51,1.0
36,36,9.35,1.0
37,37,9.31,1.0
38,38,9.3,1.0
39,39,9.33,1.0
40,40,9.37,1.0
41,41,9.4,1.0
42,42,9.33,1.0
43,43,9.32,1.0
44,44,9.34,1.0
45,45,9.26,1.0
46,46,9.4,1.0
47,47,9.41,1.0
48,48,9.37,1.0
49,49,9.4,1.0
50,50,9.4,1.0
51,51,9.31,1.0
52,52,9.4,1.0
53,53,9.24,1.0
54,54,9.38,1.0
55,55,9.42,1.0
56,56,9.4,1.0
57,57,9.39,1.0
58,58,9.37,1.0
59,59,9.49,1.0
60,60,9.3,1.0
61,61,9.35,1.0
62,62,9.57,1.0
63,63,9.4,1.0
64,64,9.4,1.0
65,65,9.34,1.0
66,66,9.39,1.0
67,67,9.37,1.0
68,68,9.31,1.0
69,69,9.32,1.0
70,70,9.31,1.0
71,71,9.34,1.0
72,72,9.33,1.0
73,73,9.36,1.0
74,74,9.33,1.0
75,75,9.36,1.0
76,76,9.42,1.0
77,77,9.35,1.0
78,78,9.41,1.0
79,79,9.27,1.0
80,80,9.39,1.0
81,81,9.47,1.0
82,82,9.34,1.0
83,83,9.19,1.0
84,84,9.53,1.0
85,85,9.39,1.0
86,86,9.49,1.0
87,87,9.45,1.0
88,88,9.66,1.0
89,89,9.57,1.0
90,90,9.67,1.0
91,91,9.66,1.0
92,92,9.75,1.0
93,93,9.98,1.0
94,94,10.03,1.0
95,95,9.94,1.0
96,96,10.23,1.0
97,97,10.33,1.0
98,98,10.33,1.0
99,99,10.49,1.0
100,100,10.61,1.0
101,101,10.47,1.0
102,102,10.69,1.0
103,103,10.82,1.0
104,104,11.11,1.0
105,105,11.12,1.0
106,106,11.43,1.0
107,107,11.13,1.0
108,108,11.15,1.0
109,109,11.12,1.0
110,110,11.3,1.0
111,111,11.11,1.0
112,112,11.44,1.0
113,113,11.45,1.0
114,114,11.55,1.0
115,115,12.05,1.0
116,116,12.07,1.0
117,117,12.02,1.0
118,118,11.89,1.0
119,119,12.11,1.0
120,120,12.35,1.0
121,121,12.03,1.0
122,122,12.28,1.0
123,123,12.13,1.0
124,124,12.13,1.0
125,125,12.16,1.0
126,126,12.35,1.0
127,127,12.23,1.0
128,128,12.6,1.0
129,129,12.46,1.0
130,130,12.32,1.0
131,131,12.86,1.0
132,132,12.81,1.0
133,133,13.15,1.0
134,134,13.01,1.0
135,135,12.6,1.0
136,136,12.87,1.0
137,137,12.9,1.0
138,138,13.05,1.0
139,139,12.75,1.0
140,140,12.77,1.0
141,141,13.55,1.0
142,142,13.63,1.0
143,143,13.21,1.0
144,144,13.22,1.0
145,145,13.22,1.0
146,146,13.19,1.0
147,147,13.27,1.0
148,148,13.17,1.0
149,149,12.96,1.0
150,150,13.68,1.0
151,151,13.46,1.0
152,152,13.7,1.0
153,153,13.58,1.0
154,154,13.79,1.0
155,155,15.38,1.0
156,156,14.53,1.0
157,157,14.11,1.0
158,158,14.58,1.0
159,159,14.43,1.0
160,160,15.25,1.0
161,161,15.06,1.0
162,162,15.28,1.0
163,163,14.98,1.0
164,164,15.29,1.0
165,165,14.99,1.0
166,166,15.2,1.0
167,167,15.48,1.0
168,168,16.18,1.0
169,169,16.3,1.0
170,170,16.01,1.0
171,171,15.81,1.0
172,172,16.01,1.0
173,173,15.98,1.0
174,174,16.07,1.0
175,175,16.0,1.0
176,176,16.09,1.0
177,177,16.91,1.0
178,178,17.16,1.0
179,179,16.92,1.0
180,180,16.88,1.0
181,181,18.35,1.0
182,182,20.99,1.0
183,183,22.47,1.0
184,184,22.47,1.0
185,185,22.66,1.0
186,186,20.13,1.0
187,187,20.39,1.0
188,188,20.36,1.0
189,189,20.26,1.0
190,190,21.82,1.0
191,191,21.93,1.0
192,192,21.34,1.0
193,193,20.07,1.0
194,194,18.0,1.0
195,195,19.12,1.0
196,196,9.32,1.0
197,197,9.37,1.0
198,198,9.51,1.0
199,199,9.34,1.0
200,200,9.42,1.0
201,201,9.44,1.0
202,202,9.33,1.0
203,203,9.43,1.0
204,204,9.54,1.0
205,205,9.81,1.0
206,206,9.86,1.0
207,207,9.7,1.0
208,208,9.96,1.0
209,209,9.95,1.0
210,210,10.16,1.0
211,211,9.42,1.0
212,212,9.51,1.0
213,213,9.53,1.0
214,214,9.53,1.0
215,215,9.96,1.0
216,216,10.8,1.0
217,217,10.94,1.0
218,218,10.8,1.0
219,219,11.93,1.0
220,220,10.96,1.0
221,221,10.86,1.0
222,222,10.98,1.0
223,223,11.0,1.0
224,224,11.14,1.0
225,225,11.07,1.0
226,226,10.84,1.0
227,227,12.16,1.0
228,228,12.05,1.0
229,229,10.92,1.0
230,230,11.8,1.0
231,231,11.53,1.0
232,232,10.95,1.0
233,233,10.69,1.0
234,234,10.75,1.0
235,235,10.52,1.0
236,236,10.88,1.0
237,237,10.64,1.0
238,238,10.16,1.0
239,239,10.35,1.0
240,240,10.28,1.0
241,241,10.44,1.0
242,242,10.7,1.0
