,Episode,Average Reward,Fail Rate
0,0,9.32,1.0
1,10,9.45,1.0
2,20,17.87,1.0
3,30,9.33,1.0
4,40,9.11,1.0
5,50,23.19,1.0
6,60,26.59,1.0
7,70,31.45,1.0
8,80,50.48,1.0
9,90,52.93,1.0
10,100,69.04,1.0
11,110,182.1,0.9
12,120,174.24,0.99
13,130,130.37,1.0
14,140,212.1,1.0
15,150,255.15,1.0
16,160,236.91,1.0
17,170,263.56,1.0
18,180,258.92,1.0
19,190,259.35,1.0
20,200,233.56,1.0
21,210,224.45,1.0
22,220,212.74,1.0
23,230,223.28,1.0
24,240,215.63,1.0
25,250,213.97,1.0
26,260,202.39,1.0
27,270,215.55,1.0
28,280,223.4,1.0
29,290,234.38,0.99
30,300,207.76,1.0
31,310,210.81,1.0
32,320,235.39,0.99
33,330,228.77,1.0
34,340,218.89,1.0
35,350,247.82,0.99
36,360,230.12,1.0
37,370,225.94,1.0
38,380,210.99,1.0
39,390,209.71,1.0
40,400,232.18,1.0
41,410,235.38,0.99
42,420,226.86,1.0
43,430,213.12,1.0
44,440,215.95,1.0
45,450,230.23,1.0
46,460,208.12,1.0
47,470,207.72,1.0
48,480,210.39,1.0
49,490,227.58,1.0
50,500,228.35,1.0
51,510,209.1,1.0
52,520,218.39,1.0
53,530,214.01,1.0
54,540,232.74,1.0
55,550,232.52,1.0
56,560,277.52,0.98
57,570,274.44,1.0
58,580,232.2,1.0
59,590,293.46,0.98
60,600,284.99,0.99
61,610,322.15,0.92
62,620,361.98,0.84
63,630,315.43,0.94
64,640,349.98,0.85
65,650,284.19,0.99
66,660,307.7,0.93
67,670,232.64,1.0
68,680,182.27,1.0
69,690,167.99,1.0
70,700,162.91,1.0
71,710,149.89,1.0
72,720,144.12,1.0
73,730,141.63,1.0
74,740,145.5,1.0
75,750,135.92,1.0
76,760,152.77,1.0
77,770,146.96,1.0
78,780,167.71,1.0
79,790,164.73,1.0
80,800,217.45,1.0
81,810,199.17,1.0
82,820,189.82,1.0
83,830,164.86,1.0
84,840,166.73,1.0
85,850,159.03,1.0
86,860,274.87,1.0
87,870,315.96,1.0
88,880,352.47,1.0
89,890,336.68,1.0
90,900,280.08,0.68
91,910,500.0,0.0
92,920,491.28,0.11
93,930,500.0,0.0
94,940,434.74,0.2
95,950,466.53,0.37
96,960,298.54,1.0
97,970,337.93,0.98
98,980,260.4,1.0
99,990,285.81,1.0
100,1000,188.24,1.0
101,1010,278.14,1.0
102,1020,170.97,1.0
103,1030,279.66,1.0
104,1040,146.85,1.0
105,1050,121.53,1.0
106,1060,299.05,1.0
107,1070,291.02,1.0
108,1080,317.57,0.99
109,1090,295.99,1.0
110,1100,141.58,1.0
111,1110,500.0,0.0
112,1120,500.0,0.0
113,1130,500.0,0.0
114,1140,500.0,0.0
115,1150,500.0,0.0
