,Epoch,Train_loss,Train_acc,Val_loss,Val_acc,Val_reward,Val_fail_rate
0,1,0.2796543,87.61,0.099455,96.89,500.0,0.0
1,2,0.1026992,96.43,0.0542697,98.09,500.0,0.0
2,3,0.0707724,97.52,0.0527891,97.63,500.0,0.0
3,4,0.0623285,97.78,0.0310657,99.31,500.0,0.0
4,5,0.0591245,97.88,0.0306364,99.03,500.0,0.0
5,6,0.0572321,97.96,0.0289834,99.17,500.0,0.0
6,7,0.0538139,98.08,0.0271256,99.37,500.0,0.0
7,8,0.0533588,98.09,0.0317611,98.54,500.0,0.0
8,9,0.0517974,98.17,0.0252065,99.04,500.0,0.0
9,10,0.0509112,98.18,0.0216252,99.73,500.0,0.0
10,11,0.0424817,98.66,0.0212053,99.69,500.0,0.0
11,12,0.0412624,98.67,0.0200737,99.74,500.0,0.0
12,13,0.0402911,98.71,0.0200053,99.76,500.0,0.0
13,14,0.0397723,98.74,0.0195058,99.77,500.0,0.0
14,15,0.0394941,98.73,0.0192703,99.77,500.0,0.0
15,16,0.0390432,98.76,0.0195549,99.62,500.0,0.0
16,17,0.0385799,98.79,0.0186224,99.83,500.0,0.0
17,18,0.0386781,98.79,0.018794,99.81,500.0,0.0
18,19,0.0389339,98.78,0.019471,99.71,500.0,0.0
19,20,0.0385875,98.78,0.020955,99.36,500.0,0.0
20,21,0.0378988,98.85,0.0187794,99.83,500.0,0.0
21,22,0.0380511,98.83,0.0187987,99.81,500.0,0.0
22,23,0.0378439,98.84,0.0188105,99.83,500.0,0.0
23,24,0.0378044,98.82,0.0188151,99.81,500.0,0.0
24,25,0.0377736,98.84,0.0188015,99.82,500.0,0.0
25,26,0.0376958,98.84,0.0186602,99.84,500.0,0.0
26,27,0.0377868,98.82,0.0186987,99.84,500.0,0.0
27,28,0.0375871,98.84,0.0186487,99.8,500.0,0.0
28,29,0.0377641,98.82,0.0185605,99.84,500.0,0.0
29,30,0.0376126,98.84,0.0186102,99.82,500.0,0.0
30,31,0.0372558,98.87,0.0185627,99.84,500.0,0.0
31,32,0.0377199,98.83,0.0186063,99.84,500.0,0.0
32,33,0.0373785,98.87,0.0185696,99.84,500.0,0.0
33,34,0.0375468,98.83,0.0185689,99.84,500.0,0.0
34,35,0.0376593,98.84,0.0185859,99.85,500.0,0.0
35,36,0.0373361,98.86,0.0185927,99.84,500.0,0.0
36,37,0.0376207,98.81,0.0186061,99.84,500.0,0.0
37,38,0.0373918,98.86,0.0185946,99.85,500.0,0.0
38,39,0.0372399,98.87,0.0185905,99.84,500.0,0.0
39,40,0.0374879,98.85,0.018603,99.84,500.0,0.0
40,41,0.0375617,98.85,0.0185871,99.84,500.0,0.0
41,42,0.0373652,98.86,0.0185826,99.84,500.0,0.0
42,43,0.0374129,98.85,0.0185824,99.85,500.0,0.0
43,44,0.0374701,98.84,0.0185835,99.85,500.0,0.0
