Timestep,Average Reward,Episode Reward
1,9.38,0.0
11,9.38,0.0
21,9.34,0.0
31,9.33,0.0
41,9.53,0.0
51,10.27,0.0
61,13.06,0.0
71,22.65,0.0
81,36.73,0.0
91,10.2,0.0
101,9.53,0.0
111,14.54,0.0
121,43.21,0.0
131,46.65,0.0
141,42.71,0.0
151,44.96,0.0
161,47.98,0.0
171,47.42,0.0
181,47.82,0.0
191,51.2,0.0
201,49.4,0.0
211,52.42,0.0
221,54.01,0.0
231,59.86,0.0
241,63.48,0.0
251,72.97,0.0
261,70.74,0.0
271,71.0,0.0
281,66.35,0.0
291,66.18,0.0
301,84.36,0.0
311,82.56,0.0
321,95.26,0.0
331,88.83,0.0
341,77.02,0.0
351,66.81,0.0
361,60.77,0.0
371,81.25,0.0
381,82.89,0.0
391,80.95,0.0
401,94.19,0.0
411,95.44,0.0
421,86.21,0.0
431,113.6,0.0
441,124.89,0.0
451,135.18,0.0
461,94.56,0.0
471,118.0,0.0
481,73.08,0.0
491,135.53,0.0
501,149.14,0.0
511,147.75,0.0
521,122.69,0.0
531,105.74,0.0
541,109.04,0.0
551,141.92,0.0
561,174.35,0.0
571,213.77,0.0
581,159.87,0.0
591,107.61,0.0
601,190.17,0.0
611,172.83,0.0
621,155.22,0.0
631,182.94,0.0
641,118.29,0.0
651,167.37,0.0
661,145.79,0.0
671,115.72,0.0
681,78.0,0.0
691,106.77,0.0
701,99.06,0.0
711,144.51,0.0
721,176.63,0.0
731,149.3,0.0
741,159.99,0.0
751,98.57,0.0
761,140.85,0.0
771,106.16,0.0
781,126.82,0.0
791,116.46,0.0
801,119.33,0.0
811,151.35,0.0
821,125.42,0.0
831,147.44,0.0
841,99.9,0.0
851,153.38,0.0
861,155.05,0.0
871,185.21,0.0
881,148.79,0.0
891,158.56,0.0
901,151.32,0.0
911,133.43,0.0
921,115.52,0.0
931,146.48,0.0
941,192.54,0.0
951,161.94,0.0
961,160.78,0.0
971,141.75,0.0
981,147.91,0.0
991,152.37,0.0
1001,127.3,0.0
1011,148.95,0.0
1021,154.64,0.0
1031,180.91,0.0
1041,191.13,0.0
1051,198.82,0.0
1061,164.24,0.0
1071,150.57,0.0
1081,127.66,0.0
1091,109.6,0.0
1101,117.94,0.0
1111,205.67,0.0
1121,278.15,0.0
1131,219.19,0.0
1141,198.0,0.0
1151,257.18,0.0
1161,241.47,0.0
1171,228.7,0.0
1181,175.99,0.0
1191,179.49,0.0
1201,192.64,0.0
1211,195.46,0.0
1221,197.73,0.0
1231,174.52,0.0
1241,166.84,0.0
1251,155.57,0.0
1261,183.62,0.0
1271,211.11,0.0
1281,150.7,0.0
1291,152.07,0.0
1301,170.01,0.0
1311,175.26,0.0
1321,185.3,0.0
1331,204.3,0.0
1341,235.42,0.0
1351,189.37,0.0
1361,229.61,0.0
1371,240.65,0.0
1381,233.98,0.0
1391,250.77,0.0
1401,258.19,0.0
1411,269.86,0.0
1421,262.58,0.0
1431,238.64,0.0
1441,270.41,0.0
1451,257.32,0.0
1461,202.87,0.0
1471,260.5,0.0
1481,267.05,0.0
1491,279.95,0.0
1501,276.46,0.0
1511,230.81,0.0
1521,272.42,0.0
1531,269.14,0.0
1541,269.63,0.0
1551,305.68,0.0
1561,282.76,0.0
1571,259.01,0.0
1581,230.0,0.0
1591,252.6,0.0
1601,340.69,0.0
1611,325.5,0.0
1621,321.85,0.0
1631,344.82,0.0
1641,334.09,0.0
1651,379.94,0.0
1661,344.82,0.0
1671,371.4,0.0
1681,386.04,0.0
1691,391.44,0.0
1701,362.05,0.0
1711,363.37,0.0
1721,377.18,0.0
1731,389.91,0.0
1741,392.22,0.0
1751,268.49,0.0
1761,371.0,0.0
1771,401.32,0.0
1781,351.16,0.0
1791,346.46,0.0
1801,407.44,0.0
1811,428.67,0.0
1821,390.32,0.0
1831,424.43,0.0
1841,408.32,0.0
1851,434.28,0.0
1861,426.95,0.0
1871,423.69,0.0
1881,454.35,0.0
1891,455.05,0.0
1901,444.85,0.0
1911,468.52,0.0
1921,458.62,0.0
1931,439.98,0.0
1941,447.85,0.0
1951,448.01,0.0
1961,447.25,0.0
1971,459.88,0.0
1981,470.52,0.0
1991,426.05,0.0
2001,458.5,0.0
2011,460.36,0.0
2021,461.65,0.0
2031,452.98,0.0
2041,434.24,0.0
2051,464.32,0.0
2061,470.78,0.0
2071,461.29,0.0
2081,445.41,0.0
2091,446.99,0.0
2101,470.74,0.0
2111,475.1,0.0
2121,460.59,0.0
2131,462.35,0.0
2141,458.8,0.0
2151,461.74,0.0
2161,475.07,0.0
2171,460.96,0.0
2181,470.0,0.0
2191,459.19,0.0
2201,452.89,0.0
2211,473.16,0.0
2221,471.96,0.0
2231,461.64,0.0
2241,478.72,0.0
2251,475.28,0.0
2261,465.87,0.0
2271,464.69,0.0
2281,477.78,0.0
2291,458.56,0.0
2301,472.46,0.0
2311,469.75,0.0
2321,460.13,0.0
2331,461.26,0.0
2341,467.61,0.0
2351,473.3,0.0
2361,459.3,0.0
2371,458.12,0.0
2381,467.7,0.0
2391,469.64,0.0
2401,478.81,0.0
2411,471.85,0.0
2421,488.44,0.0
2431,463.79,0.0
2441,475.65,0.0
2451,458.41,0.0
2461,465.71,0.0
2471,480.38,0.0
2481,475.92,0.0
2491,469.91,0.0
2501,480.53,0.0
2511,471.97,0.0
2521,471.74,0.0
2531,476.77,0.0
2541,475.1,0.0
2551,475.46,0.0
2561,476.16,0.0
2571,483.43,0.0
2581,469.12,0.0
2591,477.67,0.0
2601,483.88,0.0
2611,479.99,0.0
2621,481.31,0.0
2631,480.99,0.0
2641,473.0,0.0
2651,482.19,0.0
2661,467.97,0.0
2671,486.58,0.0
2681,488.19,0.0
2691,476.75,0.0
2701,480.75,0.0
2711,485.09,0.0
2721,474.35,0.0
2731,482.11,0.0
2741,481.41,0.0
2751,484.63,0.0
2761,480.06,0.0
2771,474.91,0.0
2781,493.65,0.0
2791,488.22,0.0
2801,491.55,0.0
2811,490.08,0.0
2821,494.41,0.0
2831,485.4,0.0
2841,493.14,0.0
2851,488.58,0.0
2861,484.42,0.0
2871,484.29,0.0
2881,487.05,0.0
2891,491.48,0.0
2901,483.54,0.0
2911,484.3,0.0
2921,491.09,0.0
2931,495.15,0.0
2941,486.59,0.0
2951,498.96,0.0
2961,486.32,0.0
2971,493.44,0.0
2981,492.94,0.0
2991,494.93,0.0
3225,500.0,225.0
3446,500.0,221.0
3946,499.87,500.0
4446,499.334,500.0
4675,499.985,229.0
4889,500.0,214.0
5389,499.997,500.0
5889,500.0,500.0
6256,499.961,367.0
6756,500.0,500.0
7256,500.0,500.0
7756,499.99,500.0
8069,500.0,313.0
8569,500.0,500.0
8918,500.0,349.0
9161,500.0,243.0
9661,500.0,500.0
